,mean_r,mean_g,mean_b,std_r,std_g,std_b,var_r,var_g,var_b,skew_r,skew_g,skew_b,kurtosis_r,kurtosis_g,kurtosis_b,class
3044,29.26464844,70.38867188,78.54394531,8.309755202,10.84988608,11.13526661,69.05203152,117.7200279,123.9941626,-0.730388394,-1.679340183,-1.832950538,1.153858633,5.673111307,6.196206351,1
3045,28.37597656,70.76367188,81.29101563,8.497256509,14.93406108,15.18811976,72.20336819,223.0261803,230.6789818,-1.189895804,-1.865641361,-2.027114678,2.125381437,4.426550125,5.148830219,1
3046,30.375,81.34277344,77.71484375,8.933018982,12.62394359,11.81178629,79.79882813,159.3639517,139.5182953,-0.480889027,-0.576796886,-0.667344987,-0.370466401,-0.354441527,-0.179170208,1
3047,28.01953125,75.44824219,77.93066406,9.220159287,15.04054601,15.02992059,85.01133728,226.2180243,225.8985128,-0.950969897,-1.475827799,-1.336169459,0.742310966,3.469438872,3.228224476,1
3048,26.33007813,74.49609375,75.91894531,8.643573389,12.63775595,11.42734661,74.71136093,159.7128754,130.5842505,-0.384096508,-0.681131461,-0.961336172,0.16289762,0.578626332,1.256365964,1
3049,30.38378906,78.60742188,78.89257813,8.582217882,12.64425294,11.51528297,73.65446377,159.8771324,132.6017418,-0.755627114,-1.092389687,-1.465317203,0.726364318,2.761544021,4.208624228,1
3050,25.92089844,69.52148438,78.15820313,9.471410145,15.65333454,15.52368311,89.70761013,245.0268822,240.9847374,-0.947741118,-1.374804845,-1.611961678,0.442601675,2.015747884,3.067954547,1
3051,30.79492188,76.41699219,78.56738281,9.482350669,13.61607163,13.67462832,89.91497421,185.3974066,186.9954596,-1.036486157,-1.402075033,-1.197022967,1.05464833,2.308092121,1.944994763,1
3052,28.36035156,69.05664063,77.14941406,8.973269238,16.35926949,17.78671763,80.51956081,267.6256981,316.3673239,-1.142498844,-2.084196646,-2.184692352,1.895571879,5.788513573,6.260894856,1
3053,26.28515625,76.45800781,80.40722656,7.790514965,11.62618418,12.92342178,60.69212341,135.1681585,167.0148306,-0.606583746,-1.513198118,-1.353856322,1.179925355,5.122500454,3.806327338,1
