,mean_r,mean_g,mean_b,std_r,std_g,std_b,var_r,var_g,var_b,class
4051,29.7578125,58.79882813,21.33105469,17.28331072,19.7449202,12.5311632,298.7128296,389.8618736,157.0300512,1
4052,26.02929688,44.53222656,19.90527344,16.4245767,19.8315892,11.47993373,269.7667198,393.2919302,131.7888784,1
4053,27.75292969,46.34179688,21.38574219,20.53851401,22.63696099,15.12450386,421.8305578,512.432003,228.750617,1
4054,23.46972656,33.97949219,21.24121094,20.77020528,25.03014919,17.82054152,431.4014273,626.5083685,317.5717001,1
4055,22.24511719,36.14257813,22.61230469,16.9983764,20.96763651,15.97694521,288.9448004,439.6417809,255.2627783,1
4056,21.21875,32.07519531,22.78710938,16.17340723,19.09590337,15.22884002,261.5791016,364.6535254,231.9175682,1
4057,22.125,34.78125,23.6484375,17.20850989,20.98527665,15.9410363,296.1328125,440.3818359,254.1166382,1
4058,21.09667969,41.83105469,18.99414063,17.79279142,23.44374443,14.69680439,316.5834265,549.6091528,215.9960594,1
4059,23.71777344,49.08789063,19.01464844,17.90217112,24.1273495,13.61369873,320.487731,582.128994,185.3327932,1
4060,23.86425781,37.61914063,20.92480469,18.2012977,28.42419786,13.76530434,331.2872381,807.9350243,189.4836035,1
4061,25.34277344,55.97460938,19.44824219,16.75579093,21.75842464,12.79729497,280.7565298,473.4290428,163.7707586,1
4062,17.84667969,16.54980469,19.70898438,17.87130995,17.25762569,13.93088679,319.3837194,297.8256445,194.0696068,1
4063,27.67382813,36.0859375,20.54003906,22.82878397,24.05288845,16.52993137,521.1533775,578.5414429,273.2386312,1
4064,12.04394531,12.60449219,15.72753906,15.9843375,17.4100035,14.41607526,255.4990454,303.108222,207.823226,1
4065,20.43066406,23.24316406,18.66992188,22.55317235,23.35570001,17.13196806,508.6455832,545.4887228,293.5043297,1
4066,24.56835938,32.75195313,23.16796875,18.76445315,19.00465085,15.38259179,352.104702,361.176754,236.6241302,1
4067,25.5625,34.14453125,22.81347656,21.52682738,23.34068775,16.53551381,463.4042969,544.7877045,273.4232168,1
4068,25.97558594,30.94726563,24.04003906,20.1877513,21.66378279,16.84665903,407.5453024,469.3194847,283.8099203,1
4069,26.41308594,38.91601563,23.39941406,20.39009852,22.24791022,16.81190867,415.7561178,494.9695091,282.6402731,1
4070,26.58886719,36.34179688,25.50585938,20.55366245,22.38674559,18.10774946,422.4530401,501.166378,327.8905907,1
4071,30.3046875,43.015625,24.19628906,16.40541479,16.2452442,12.53166092,269.1376343,263.907959,157.0425253,1
4072,31.51757813,41.12402344,26.19628906,18.5601241,20.14394608,14.31760096,344.4782066,405.7785635,204.9936972,1
4073,27.73730469,37.17089844,23.68554688,20.36709814,22.28173415,16.25110411,414.8186865,496.4756765,264.0983849,1
4074,28.68457031,42.91503906,24.74804688,19.22444317,22.41859424,15.51848054,369.579215,502.5933676,240.8232384,1
4075,29.68554688,48.12988281,21.10058594,17.68989455,20.02102717,13.02928791,312.9323692,400.8415289,169.7623434,1
4076,27.79882813,56.88769531,21.95898438,16.41218817,20.72259309,12.69935858,269.3599205,429.4258642,161.2737083,1
4077,25.87207031,45.93945313,19.87597656,20.97869644,31.14855795,14.26887624,440.1057043,970.2326622,203.6008291,1
4078,23.52734375,29.97363281,18.60058594,19.48830865,21.87116681,15.25088495,379.7941742,478.3479376,232.5894918,1
4079,36.51171875,61.25976563,49.91308594,11.54059832,17.06149557,15.91386927,133.1854095,291.0946312,253.251235,1
4080,39.19726563,64.48828125,50.92480469,10.7280004,14.35732131,14.94721213,115.0899925,206.1326752,223.4191504,1
4081,34.80859375,57.53417969,49.84179688,12.41260402,16.66814197,14.99727746,154.0727386,277.8269567,224.9183311,1
4082,38.14160156,66.21875,53.09472656,10.19413452,12.76442964,12.69749497,103.9203787,162.9306641,161.2263784,1
4083,36.02734375,59.16601563,49.28320313,14.00297242,19.00749691,17.51048433,196.0832367,361.2849388,306.6170616,1
4084,36.86425781,61.27929688,48.26269531,13.84103853,19.38220937,19.69782306,191.5743475,375.6700401,388.0042334,1
4085,34.87109375,64.95410156,49.73730469,12.3831643,17.80149997,16.93895101,153.3427582,316.8934011,286.9280615,1
4086,35.03710938,65.62597656,52.421875,10.95028672,15.74391465,14.94350527,119.9087791,247.8708487,223.3083496,1
4087,40.52148438,65.37988281,52.90429688,9.682737103,11.31626429,11.09118021,93.7553978,128.0578375,123.0142784,1
4088,35.96484375,60.13378906,47.98046875,12.25090615,16.74972804,17.38223796,150.0847015,280.5533895,302.1421967,1
4089,38.16894531,67.43554688,49.86523438,10.69908785,13.16466277,13.74926853,114.4704809,173.3083458,189.0423851,1
4090,33.79589844,60.53027344,31.40917969,13.83914084,15.69730338,11.99306252,191.5218191,246.4053335,143.8335485,1
4091,23.28320313,49.68359375,25.00976563,14.6458809,20.60111032,13.41392927,214.5018272,424.4057465,179.9334984,1
4092,28.48632813,53.19824219,22.09570313,16.04333148,19.72216088,12.73500271,257.388485,388.9636297,162.180294,1
4093,28.62109375,57.03613281,19.05957031,16.91439223,21.46030272,12.3787623,286.0966644,460.5445929,153.2337561,1
4094,35.046875,63.72265625,22.61523438,21.29580885,25.45981888,14.77455591,453.5114746,648.2023773,218.2875023,1
4095,28.9140625,43.234375,22.59375,18.46815348,21.53820529,14.66071361,341.0726929,463.8942871,214.9365234,1
4096,25.71972656,54.42285156,21.04492188,17.61381963,23.5476973,13.86246385,310.2466421,554.4940481,192.1679039,1
4097,31.16015625,53.24902344,40.20214844,12.03233495,15.52742971,16.45914554,144.7770844,241.1010733,270.9034719,1
4098,37.24316406,64.23144531,47.07226563,12.51110648,16.8480151,15.13083089,156.5277853,283.8556128,228.9420433,1
4099,34.23144531,61.33007813,46.75878906,12.72808117,18.25637821,17.85043715,162.0040503,333.2953453,318.6381063,1
4100,38.84863281,58.5546875,45.14746094,20.41219616,25.16560264,22.03208627,416.657752,633.3075562,485.4128256,1
4101,34.39941406,66.73242188,49.69824219,12.98013956,19.45690058,20.49546817,168.4840231,378.5709801,420.0642157,1
4102,35.77441406,67.1484375,51.2265625,10.39366213,14.92250285,15.58862759,108.0282125,222.6810913,243.0053101,1
4103,37.07910156,73.48339844,52.18457031,8.89042414,12.56777399,12.51515161,79.03964138,157.9489431,156.6290197,1
4104,31.66992188,64.19921875,51.98046875,10.63971562,16.39143258,15.96405904,113.2035484,268.6790619,254.851181,1
4105,30.45410156,60.40917969,49.87402344,10.85350978,15.95591931,16.34947764,117.7986746,254.591361,267.305419,1
4106,32.10644531,62.00878906,50.04980469,11.64360899,16.97110714,17.29044342,135.5736303,288.0184774,298.9594336,1
4107,33.54296875,68.18359375,54.57226563,8.842154747,12.35420777,13.83689349,78.18370056,152.6264496,191.4596214,1
4108,30.38574219,55.45898438,47.45800781,11.61645485,18.34027004,17.41755676,134.9420233,336.3655052,303.3712835,1
4109,33.546875,62.90722656,49.48242188,11.94999959,17.92944578,18.76456943,142.8024902,321.4650259,352.109066,1
4110,33.61425781,62.69433594,47.19726563,11.98536835,18.042737,16.31274402,143.6490545,325.5403585,266.1056175,1
4111,31.57324219,60.07617188,50.00976563,10.97887295,16.79105447,15.27322458,120.5356512,281.9395103,233.271389,1
4112,27.23242188,39.08496094,27.40332031,21.03829942,22.01436872,17.84023139,442.6100426,484.6324301,318.2738562,1
4113,26.35546875,37.47851563,20.99316406,20.59710731,23.61796207,16.25964113,424.2408295,557.8081322,264.3759298,1
4114,31.35546875,41.01953125,24.95605469,21.32680535,23.52520277,16.59987006,454.8326263,553.4351654,275.555686,1
4115,28.71289063,44.08496094,23.29492188,18.35839997,20.77369713,14.98289825,337.0308495,431.5464926,224.4872398,1
4116,24.70019531,34.21777344,22.42382813,18.85374838,21.24366718,16.19624699,355.4638281,451.293395,262.3184166,1
4117,24.71875,42.30761719,21.14453125,20.28847136,24.47651339,15.22874445,411.6220703,599.0997076,231.9146576,1
4118,35.69140625,66.04003906,51.11816406,9.290897993,13.02489197,12.18031447,86.32078552,169.6478109,148.3600607,1
4119,32.79003906,62.79101563,49.95703125,10.77576212,15.34751346,15.85629155,116.1170492,235.5461693,251.4219818,1
4120,30.21582031,45.66113281,32.98828125,13.95715065,15.35686854,13.33624128,194.8020544,235.8334112,177.8553314,1
4121,28.99609375,43.86914063,24.41210938,19.89915946,23.20279282,16.26003566,395.9765472,538.3695946,264.3887596,1
4122,26.83496094,35.29101563,23.14941406,21.68847054,23.09282553,17.07669223,470.3897543,533.2785912,291.6134176,1
4123,30.29785156,51.50097656,22.80078125,19.52317721,21.40499538,14.62885097,381.1544485,458.1738272,214.0032806,1
4124,28.55761719,50.00976563,31.17480469,13.96803692,16.13292872,12.98834025,195.1060553,260.271389,168.6969824,1
4125,33.39257813,63.72070313,49.60546875,12.14022013,19.14796724,18.83959348,147.3849449,366.6446495,354.9302826,1
4126,37.24316406,66.65429688,52.31152344,12.21760913,19.53336541,19.91068004,149.2699728,381.5523643,396.4351797,1
4127,27.39160156,46.77929688,25.84765625,18.62610021,22.85488616,15.4619693,346.9316092,522.3458214,239.0724945,1
4128,24.65332031,31.72167969,20.86816406,21.20661768,23.06346709,17.03337722,449.7206335,531.9235144,290.1359396,1
4129,27.95507813,35.25390625,24.87011719,21.32303473,22.42866261,17.07856746,454.6718102,503.0449066,291.6774664,1
4130,26.36621094,35.78515625,23.32910156,20.06044749,21.78124405,16.20770014,402.4215536,474.4225922,262.6895437,1
4131,27.55664063,36.20996094,20.43164063,19.2621389,21.50104145,14.5767505,371.029995,462.2947836,212.4816551,1
4132,23.40820313,32.91308594,25.03125,14.83198123,17.94695049,13.76373604,219.9876671,322.0930319,189.4404297,1
